,Año,Compañia,Region,Retail Price,Search Engine,Free Shipping,S/Q Rating,Num Models,Brand Advertising,Celebrity Appeal,Brand Reputation,Online Orders,Pairs Sold,Market Share
0,10,A,NA,67.0,5000,0,4.0,200.0,10000,0,70,353,353,0.25
1,10,B,NA,67.0,5000,0,4.0,200.0,10000,0,70,353,353,0.25
2,10,C,NA,67.0,5000,0,4.0,200.0,10000,0,70,353,353,0.25
3,10,D,NA,67.0,5000,0,4.0,200.0,10000,0,70,353,353,0.25
4,10,E,NA,67.0,5000,0,4.0,200.0,10000,0,70,353,353,0.25
14,10,A,EA,72.0,4500,0,4.0,200.0,9000,0,70,300,300,0.25
15,10,B,EA,72.0,4500,0,4.0,200.0,9000,0,70,300,300,0.25
16,10,C,EA,72.0,4500,0,4.0,200.0,9000,0,70,300,300,0.25
17,10,D,EA,72.0,4500,0,4.0,200.0,9000,0,70,300,300,0.25
18,10,E,EA,72.0,4500,0,4.0,200.0,9000,0,70,300,300,0.25
28,10,A,AP,67.0,4000,0,4.0,200.0,8000,0,70,225,225,0.25
29,10,B,AP,67.0,4000,0,4.0,200.0,8000,0,70,225,225,0.25
30,10,C,AP,67.0,4000,0,4.0,200.0,8000,0,70,225,225,0.25
31,10,D,AP,67.0,4000,0,4.0,200.0,8000,0,70,225,225,0.25
32,10,E,AP,67.0,4000,0,4.0,200.0,8000,0,70,225,225,0.25
42,10,A,LA,72.0,4000,0,4.0,200.0,7500,0,70,225,225,0.25
43,10,B,LA,72.0,4000,0,4.0,200.0,7500,0,70,225,225,0.25
44,10,C,LA,72.0,4000,0,4.0,200.0,7500,0,70,225,225,0.25
45,10,D,LA,72.0,4000,0,4.0,200.0,7500,0,70,225,225,0.25
46,10,E,LA,72.0,4000,0,4.0,200.0,7500,0,70,225,225,0.25
0,11,A,NA,86.0,5000,1,6.4,100.0,10000,0,70,320,320,0.1645
1,11,B,NA,68.0,5000,0,4.3,250.0,10000,0,70,476,476,0.2447
2,11,C,NA,85.0,5500,0,4.9,250.0,10000,0,70,339,339,0.1743
3,11,D,NA,72.0,5750,0,5.1,151.2,11000,0,70,338,338,0.1738
4,11,E,NA,75.0,5750,1,4.6,200.0,10000,0,70,472,472,0.2427
14,11,A,EA,90.0,5000,1,6.7,100.0,9000,0,70,301,301,0.1819
15,11,B,EA,72.5,4500,0,4.4,250.0,9000,0,70,430,430,0.2598
16,11,C,EA,90.0,5500,0,4.8,250.0,9000,0,70,307,307,0.1855
17,11,D,EA,75.0,5000,0,5.1,151.5,9500,0,70,301,301,0.1819
18,11,E,EA,79.0,5000,0,4.6,200.0,9000,0,70,316,316,0.1909
28,11,A,AP,90.0,5000,1,6.7,100.0,8000,0,70,202,202,0.1586
29,11,B,AP,68.0,4000,0,4.4,250.0,8000,0,70,311,311,0.2441
30,11,C,AP,85.0,4750,0,4.5,250.0,7500,0,70,215,215,0.1688
31,11,D,AP,72.0,5500,0,5.4,151.3,9500,0,70,238,238,0.1868
32,11,E,AP,75.0,4750,1,4.6,200.0,8000,0,70,308,308,0.2418
42,11,A,LA,86.0,4500,1,6.4,100.0,7500,0,70,249,249,0.193
43,11,B,LA,72.5,4000,0,4.3,250.0,7500,0,70,327,327,0.2535
44,11,C,LA,90.0,5000,0,4.5,250.0,8500,0,70,240,240,0.186
45,11,D,LA,75.0,4500,0,5.3,151.5,8000,0,70,231,231,0.1791
46,11,E,LA,79.0,4500,0,4.6,200.0,7500,0,70,243,243,0.1884
0,12,A,NA,111.86,6500,1,10.0,100.0,10000,0,73,234,234,0.1104
1,12,B,NA,72.0,5000,0,5.7,344.0,10000,145,68,702,702,0.3311
2,12,C,NA,85.0,5500,0,5.3,250.0,10000,210,72,467,467,0.2203
3,12,D,NA,80.0,6000,0,5.6,150.0,11000,75,72,341,341,0.1608
4,12,E,NA,90.0,6000,1,5.3,200.0,10000,60,68,376,376,0.1774
14,12,A,EA,104.86,6500,1,10.0,100.0,9000,0,73,283,283,0.156
15,12,B,EA,77.5,4500,0,5.6,250.0,9000,115,68,496,496,0.2734
16,12,C,EA,91.0,5500,0,5.2,250.0,9000,255,72,434,434,0.2393
17,12,D,EA,84.0,5250,0,5.5,150.0,9500,80,72,304,304,0.1676
18,12,E,EA,90.0,5250,0,5.3,200.0,9500,45,68,297,297,0.1637
28,12,A,AP,104.9,6500,1,10.0,100.0,8000,0,73,191,191,0.1296
29,12,B,AP,72.0,4000,0,5.6,250.0,8000,120,68,388,388,0.2632
30,12,C,AP,85.0,4750,1,5.2,250.0,7500,195,72,366,366,0.2483
31,12,D,AP,82.0,5750,0,5.5,150.0,9500,95,72,244,244,0.1655
32,12,E,AP,90.0,5000,1,5.3,200.0,8500,100,68,285,285,0.1934
42,12,A,LA,111.86,6500,1,10.0,100.0,7500,0,73,193,193,0.1291
43,12,B,LA,77.5,4000,0,5.7,324.3,7500,135,68,451,451,0.3017
44,12,C,LA,90.0,5000,1,5.2,250.0,8500,230,72,416,416,0.2783
45,12,D,LA,84.0,4750,0,5.6,150.0,8000,60,72,222,222,0.1485
46,12,E,LA,93.0,4750,0,5.3,200.0,8000,65,68,213,213,0.1425
0,13,A,NA,118.69,13000,1,10.0,100.0,14000,0,99,380,380,0.1591
1,13,B,NA,84.5,5000,0,6.0,450.0,10000,145,86,699,699,0.2926
2,13,C,NA,90.0,5500,0,5.6,297.7,10000,210,78,498,498,0.2085
3,13,D,NA,95.0,6500,0,6.5,250.0,10500,75,70,306,306,0.1281
4,13,E,NA,92.5,6500,1,6.3,300.0,10500,60,63,506,506,0.2118
14,13,A,EA,109.0,13000,1,10.0,100.0,14000,0,99,448,448,0.2169
15,13,B,EA,86.9,4500,0,6.0,277.2,9000,115,86,452,452,0.2189
16,13,C,EA,94.0,5500,0,5.2,244.0,9000,255,78,399,399,0.1932
17,13,D,EA,100.0,5750,0,6.8,250.0,9000,80,70,292,292,0.1414
18,13,E,EA,94.0,6000,1,6.3,300.0,10000,45,63,474,474,0.2295
28,13,A,AP,112.39,13000,1,10.0,100.0,14000,0,99,309,309,0.1757
29,13,B,AP,86.5,4000,0,6.3,300.0,8000,120,86,343,343,0.195
30,13,C,AP,85.0,4750,1,5.2,297.7,7500,195,78,468,468,0.2661
31,13,D,AP,95.0,6000,0,7.3,250.0,9000,95,70,255,255,0.145
32,13,E,AP,92.5,6000,1,6.3,300.0,9000,100,63,384,384,0.2183
42,13,A,LA,117.0,13000,0,10.0,100.0,14000,0,99,278,278,0.158
43,13,B,LA,87.5,4000,0,6.2,357.0,7500,135,86,460,460,0.2615
44,13,C,LA,93.0,5000,1,5.3,297.8,8500,230,78,505,505,0.2871
45,13,D,LA,100.0,5250,0,7.3,250.0,7500,60,70,217,217,0.1234
46,13,E,LA,98.0,5750,0,6.3,300.0,9000,65,63,299,299,0.17
0,14,A,NA,118.69,13000,1,10.0,100.0,25000,60,100,557,557,0.2049
1,14,B,NA,96.5,3000,0,7.1,450.0,10000,0,84,441,441,0.1622
2,14,C,NA,90.0,7000,0,6.2,396.6,11000,40,79,632,632,0.2324
3,14,D,NA,105.0,0,0,10.0,300.0,10500,160,71,330,330,0.1214
4,14,E,NA,97.0,7500,1,7.4,350.0,11500,230,71,759,759,0.2791
14,14,A,EA,109.0,13000,1,9.7,100.0,24500,50,100,603,603,0.2576
15,14,B,EA,98.9,4500,0,5.6,307.2,9000,0,84,294,294,0.1256
16,14,C,EA,94.0,5500,1,5.9,304.9,11500,85,79,565,565,0.2413
