,Año,Compañia,Region,Offer Price,S/Q Rating,Pairs Offered,Pairs Sold,Market Share
0,10,A,NA,32.0,3.0,200,200,0.25
1,10,B,NA,32.0,3.0,200,200,0.25
2,10,C,NA,32.0,3.0,200,200,0.25
3,10,D,NA,32.0,3.0,200,200,0.25
4,10,E,NA,32.0,3.0,200,200,0.25
14,10,A,EA,37.0,3.0,200,200,0.25
15,10,B,EA,37.0,3.0,200,200,0.25
16,10,C,EA,37.0,3.0,200,200,0.25
17,10,D,EA,37.0,3.0,200,200,0.25
18,10,E,EA,37.0,3.0,200,200,0.25
28,10,A,AP,32.0,3.0,200,200,0.25
29,10,B,AP,32.0,3.0,200,200,0.25
30,10,C,AP,32.0,3.0,200,200,0.25
31,10,D,AP,32.0,3.0,200,200,0.25
32,10,E,AP,32.0,3.0,200,200,0.25
42,10,A,LA,37.0,3.0,200,200,0.25
43,10,B,LA,37.0,3.0,200,200,0.25
44,10,C,LA,37.0,3.0,200,200,0.25
45,10,D,LA,37.0,3.0,200,200,0.25
46,10,E,LA,37.0,3.0,200,200,0.25
0,11,A,NA,0.0,0.0,0,0,0.0
1,11,B,NA,0.0,0.0,0,0,0.0
2,11,C,NA,48.0,4.5,233,0,0.0
3,11,D,NA,32.0,3.6,203,203,0.183
4,11,E,NA,38.0,3.4,403,403,0.363
14,11,A,EA,0.0,0.0,0,0,0.0
15,11,B,EA,0.0,0.0,0,0,0.0
16,11,C,EA,40.0,4.5,280,280,0.252
17,11,D,EA,37.0,3.6,203,203,0.183
18,11,E,EA,42.0,3.5,181,181,0.163
28,11,A,AP,0.0,0.0,0,0,0.0
29,11,B,AP,0.0,0.0,0,0,0.0
30,11,C,AP,38.0,4.4,298,298,0.264
31,11,D,AP,32.0,3.9,205,205,0.181
32,11,E,AP,38.0,3.5,408,408,0.361
42,11,A,LA,0.0,0.0,0,0,0.0
43,11,B,LA,0.0,0.0,0,0,0.0
44,11,C,LA,43.0,4.4,298,298,0.264
45,11,D,LA,37.0,3.9,205,205,0.181
46,11,E,LA,42.0,3.4,206,206,0.182
0,12,A,NA,30.0,4.1,382,382,0.311
1,12,B,NA,32.5,4.1,393,393,0.32
2,12,C,NA,0.0,0.0,0,0,0.0
3,12,D,NA,32.0,4.1,204,204,0.166
4,12,E,NA,48.0,4.5,283,251,0.204
14,12,A,EA,35.0,4.1,378,378,0.307
15,12,B,EA,37.5,4.1,481,481,0.391
16,12,C,EA,0.0,0.0,0,0,0.0
17,12,D,EA,37.0,4.1,204,204,0.166
18,12,E,EA,48.0,4.4,274,167,0.136
28,12,A,AP,30.0,4.1,378,378,0.296
29,12,B,AP,32.5,4.1,477,477,0.374
30,12,C,AP,0.0,0.0,0,0,0.0
31,12,D,AP,32.0,4.1,214,214,0.168
32,12,E,AP,48.0,4.4,457,206,0.162
42,12,A,LA,35.0,4.1,382,382,0.3
43,12,B,LA,37.5,4.1,488,488,0.383
44,12,C,LA,0.0,0.0,0,0,0.0
45,12,D,LA,37.0,4.1,214,214,0.168
46,12,E,LA,50.0,4.5,283,191,0.15
0,13,A,NA,0.0,0.0,0,0,0.0
1,13,B,NA,32.5,5.0,544,544,0.399
2,13,C,NA,0.0,0.0,0,0,0.0
3,13,D,NA,32.0,5.0,206,206,0.151
4,13,E,NA,50.0,5.1,430,430,0.315
14,13,A,EA,0.0,0.0,0,0,0.0
15,13,B,EA,37.5,5.1,531,531,0.389
16,13,C,EA,0.0,0.0,0,0,0.0
17,13,D,EA,37.0,5.0,206,206,0.151
18,13,E,EA,50.0,5.1,481,481,0.352
28,13,A,AP,0.0,0.0,0,0,0.0
29,13,B,AP,32.5,5.0,572,572,0.397
30,13,C,AP,0.0,0.0,0,0,0.0
31,13,D,AP,32.0,5.0,214,214,0.149
32,13,E,AP,50.0,5.1,484,484,0.336
42,13,A,LA,0.0,0.0,0,0,0.0
43,13,B,LA,37.5,5.0,574,574,0.399
44,13,C,LA,0.0,0.0,0,0,0.0
45,13,D,LA,37.0,5.0,214,214,0.149
46,13,E,LA,52.0,5.1,481,481,0.334
0,14,A,NA,50.0,5.0,783,606,0.4
1,14,B,NA,50.0,5.6,605,334,0.22
2,14,C,NA,0.0,0.0,0,0,0.0
3,14,D,NA,47.9,5.1,575,575,0.38
4,14,E,NA,52.5,5.3,296,0,0.0
14,14,A,EA,50.0,5.0,386,386,0.255
15,14,B,EA,52.0,5.1,605,605,0.399
16,14,C,EA,0.0,0.0,0,0,0.0
17,14,D,EA,0.0,0.0,0,0,0.0
18,14,E,EA,0.0,0.0,0,0,0.0
28,14,A,AP,0.0,0.0,0,0,0.0
29,14,B,AP,51.0,5.1,648,648,0.399
30,14,C,AP,0.0,0.0,0,0,0.0
31,14,D,AP,47.9,5.1,583,583,0.359
32,14,E,AP,52.5,5.3,295,295,0.182
42,14,A,LA,50.0,5.0,386,386,0.238
43,14,B,LA,55.5,5.4,648,647,0.398
44,14,C,LA,0.0,0.0,0,0,0.0
45,14,D,LA,0.0,0.0,0,0,0.0
46,14,E,LA,0.0,0.0,0,0,0.0
0,15,A,NA,0.0,0.0,0,0,0.0
1,15,B,NA,53.0,6.4,668,668,0.398
2,15,C,NA,0.0,0.0,0,0,0.0
3,15,D,NA,49.9,5.0,382,382,0.227
4,15,E,NA,50.0,5.5,445,445,0.265
14,15,A,EA,0.0,0.0,0,0,0.0
15,15,B,EA,52.0,5.5,671,506,0.301
16,15,C,EA,0.0,0.0,0,0,0.0
17,15,D,EA,49.9,5.0,532,532,0.317
18,15,E,EA,52.0,5.6,642,642,0.382
28,15,A,AP,0.0,0.0,0,0,0.0
29,15,B,AP,51.0,5.4,724,491,0.268
30,15,C,AP,0.0,0.0,0,0,0.0
31,15,D,AP,49.9,5.0,632,632,0.344
32,15,E,AP,51.0,5.5,712,712,0.388
42,15,A,LA,0.0,0.0,0,0,0.0
43,15,B,LA,56.5,5.9,724,724,0.395
44,15,C,LA,0.0,0.0,0,0,0.0
45,15,D,LA,0.0,0.0,0,0,0.0
46,15,E,LA,55.0,5.5,593,593,0.323
0,16,A,NA,0.0,0.0,0,0,0.0
