,Año,Compañia,Region,Wholesale Price,S/Q Rating,Num Models,Brand Advertising,Rebate Offer,Delivery Time,Retailer Support,Retail Outlets,Celebrity Appeal,Brand Reputation,Pairs Demanded,Gained Stockouts,Pairs Sold,Market Share
0,10,A,NA,48.0,4.0,200.0,10000,5,3,4000,1000,0,70,1997,0,1997,0.25
1,10,B,NA,48.0,4.0,200.0,10000,5,3,4000,1000,0,70,1997,0,1997,0.25
2,10,C,NA,48.0,4.0,200.0,10000,5,3,4000,1000,0,70,1997,0,1997,0.25
3,10,D,NA,48.0,4.0,200.0,10000,5,3,4000,1000,0,70,1997,0,1997,0.25
4,10,E,NA,48.0,4.0,200.0,10000,5,3,4000,1000,0,70,1997,0,1997,0.25
14,10,A,EA,53.0,4.0,200.0,9000,5,3,4000,1000,0,70,1700,0,1700,0.25
15,10,B,EA,53.0,4.0,200.0,9000,5,3,4000,1000,0,70,1700,0,1700,0.25
16,10,C,EA,53.0,4.0,200.0,9000,5,3,4000,1000,0,70,1700,0,1700,0.25
17,10,D,EA,53.0,4.0,200.0,9000,5,3,4000,1000,0,70,1700,0,1700,0.25
18,10,E,EA,53.0,4.0,200.0,9000,5,3,4000,1000,0,70,1700,0,1700,0.25
28,10,A,AP,48.0,4.0,200.0,8000,5,3,2750,700,0,70,1275,0,1275,0.25
29,10,B,AP,48.0,4.0,200.0,8000,5,3,2750,700,0,70,1275,0,1275,0.25
30,10,C,AP,48.0,4.0,200.0,8000,5,3,2750,700,0,70,1275,0,1275,0.25
31,10,D,AP,48.0,4.0,200.0,8000,5,3,2750,700,0,70,1275,0,1275,0.25
32,10,E,AP,48.0,4.0,200.0,8000,5,3,2750,700,0,70,1275,0,1275,0.25
42,10,A,LA,53.0,4.0,200.0,7500,5,3,2750,700,0,70,1275,0,1275,0.25
43,10,B,LA,53.0,4.0,200.0,7500,5,3,2750,700,0,70,1275,0,1275,0.25
44,10,C,LA,53.0,4.0,200.0,7500,5,3,2750,700,0,70,1275,0,1275,0.25
45,10,D,LA,53.0,4.0,200.0,7500,5,3,2750,700,0,70,1275,0,1275,0.25
46,10,E,LA,53.0,4.0,200.0,7500,5,3,2750,700,0,70,1275,0,1275,0.25
0,11,A,NA,60.0,6.4,100.0,10000,5,3,4000,1000,0,70,1409,152,1561,0.1554
1,11,B,NA,48.5,4.3,250.0,10000,5,3,4000,1000,0,70,2628,-255,2373,0.2362
2,11,C,NA,60.0,4.9,250.0,10000,5,2,4000,1000,0,70,1961,78,2039,0.203
3,11,D,NA,50.0,5.1,151.2,11000,4,3,4500,1000,0,70,1966,212,2178,0.2168
4,11,E,NA,53.5,4.6,200.0,10000,5,2,4000,1000,0,70,2082,-187,1895,0.1886
14,11,A,EA,65.0,6.7,100.0,9000,5,3,4000,1000,0,70,1225,503,1728,0.2013
15,11,B,EA,53.5,4.4,250.0,9000,5,3,4000,1000,0,70,2299,-319,1980,0.2307
16,11,C,EA,65.0,4.8,250.0,9000,5,2,4500,1000,0,70,1693,-42,1651,0.1924
17,11,D,EA,55.0,5.1,151.5,9500,4,3,4500,1000,0,70,1668,-68,1600,0.1864
18,11,E,EA,58.0,4.6,200.0,9000,5,3,4000,1000,0,70,1716,-92,1624,0.1892
28,11,A,AP,64.0,6.7,100.0,8000,5,3,3250,700,0,70,817,900,1717,0.258
29,11,B,AP,48.5,4.4,250.0,8000,5,3,2750,700,0,70,1782,-672,1110,0.1668
30,11,C,AP,60.0,4.5,250.0,7500,5,2,3000,700,0,70,1260,-5,1255,0.1886
31,11,D,AP,50.0,5.4,151.3,9500,4,2,4000,700,0,70,1478,-101,1377,0.2069
32,11,E,AP,53.0,4.6,200.0,8000,5,3,2750,700,0,70,1317,-122,1195,0.1796
42,11,A,LA,60.0,6.4,100.0,7500,5,3,3000,700,0,70,1113,414,1527,0.2247
43,11,B,LA,53.5,4.3,250.0,7500,5,3,2750,700,0,70,1768,-234,1534,0.2258
44,11,C,LA,66.0,4.5,250.0,8500,5,2,3000,700,0,70,1295,-68,1227,0.1806
45,11,D,LA,55.0,5.3,151.5,8000,4,3,3250,700,0,70,1290,-31,1259,0.1853
46,11,E,LA,58.0,4.6,200.0,7500,5,3,2750,700,0,70,1329,-81,1248,0.1837
0,12,A,NA,79.9,10.0,100.0,10000,5,1,6000,1073,0,73,979,561,1540,0.1503
1,12,B,NA,50.5,5.7,344.0,10000,5,3,4000,1089,145,68,3476,-627,2849,0.2781
2,12,C,NA,60.0,5.3,250.0,10000,5,2,4000,1221,210,72,2428,-336,2092,0.2042
3,12,D,NA,57.0,5.6,150.0,11000,4,3,4500,1288,75,72,1816,-64,1752,0.171
4,12,E,NA,64.0,5.3,200.0,10000,5,2,4250,1141,60,68,1545,466,2011,0.1963
14,12,A,EA,74.9,10.0,100.0,9000,5,1,6000,1339,0,73,1264,444,1708,0.1938
15,12,B,EA,55.5,5.6,250.0,9000,5,3,4000,1075,115,68,2441,-345,2096,0.2378
16,12,C,EA,65.0,5.2,250.0,9000,5,2,4500,1288,255,72,2185,-97,2088,0.2369
17,12,D,EA,60.0,5.5,150.0,9500,4,3,4500,1037,80,72,1465,-101,1364,0.1548
18,12,E,EA,63.0,5.3,200.0,9500,5,3,6250,852,45,68,1459,99,1558,0.1768
28,12,A,AP,74.9,10.0,100.0,8000,5,1,6000,1650,0,73,1016,322,1338,0.1931
29,12,B,AP,50.5,5.6,250.0,8000,5,3,2750,613,120,68,1922,-283,1639,0.2365
30,12,C,AP,60.0,5.2,250.0,7500,5,2,3000,816,195,72,1503,-53,1450,0.2092
31,12,D,AP,58.5,5.5,150.0,9500,4,2,4250,1336,95,72,1396,26,1422,0.2052
32,12,E,AP,64.0,5.3,200.0,8500,5,2,3000,606,100,68,1093,-12,1081,0.156
42,12,A,LA,79.9,10.0,100.0,7500,5,1,6000,1094,0,73,965,184,1149,0.1589
43,12,B,LA,55.5,5.7,324.3,7500,5,3,2750,728,135,68,2271,-355,1916,0.265
44,12,C,LA,64.0,5.2,250.0,8500,5,2,3000,787,230,72,1763,-172,1591,0.2201
45,12,D,LA,60.0,5.6,150.0,8000,4,3,3250,721,60,72,1167,224,1391,0.1924
46,12,E,LA,66.5,5.3,200.0,8000,5,3,3000,580,65,68,1064,119,1183,0.1636
0,13,A,NA,84.78,10.0,100.0,14000,5,1,7000,3269,0,99,1827,8,1835,0.1717
1,13,B,NA,59.5,6.0,450.0,10000,5,3,4000,1575,145,86,3296,-31,3265,0.3055
2,13,C,NA,63.0,5.6,297.7,10000,5,2,4000,1090,210,78,2314,10,2324,0.2174
3,13,D,NA,64.0,6.5,250.0,10500,5,3,4500,1121,75,70,1521,6,1527,0.1429
4,13,E,NA,66.3,6.3,300.0,10500,5,2,4500,1133,60,63,1731,7,1738,0.1626
14,13,A,EA,78.0,10.0,100.0,14000,5,1,7000,3996,0,99,2352,18,2370,0.2518
15,13,B,EA,61.9,6.0,277.2,9000,5,3,4000,1092,115,86,2046,-55,1991,0.2116
16,13,C,EA,67.0,5.2,244.0,9000,5,2,4500,1612,255,78,1905,14,1919,0.2039
17,13,D,EA,67.0,6.8,250.0,9000,5,3,4500,866,80,70,1417,11,1428,0.1517
18,13,E,EA,67.3,6.3,300.0,10000,5,3,6250,1563,45,63,1690,13,1703,0.181
28,13,A,AP,80.28,10.0,100.0,14000,5,1,7000,4208,0,99,1795,36,1831,0.239
29,13,B,AP,60.9,6.3,300.0,8000,5,3,2750,813,120,86,1606,33,1639,0.214
30,13,C,AP,60.0,5.2,297.7,7500,5,3,3000,818,195,78,1654,-111,1543,0.2014
31,13,D,AP,65.5,7.3,250.0,9000,5,2,4250,1230,95,70,1282,26,1308,0.1708
32,13,E,AP,66.3,6.3,300.0,9000,5,2,3250,691,100,63,1324,15,1339,0.1748
42,13,A,LA,83.27,10.0,100.0,14000,5,1,6000,3315,0,99,1748,0,1748,0.2211
43,13,B,LA,61.9,6.2,357.0,7500,5,3,2750,958,135,86,2068,0,2068,0.2616
44,13,C,LA,64.0,5.3,297.8,8500,5,3,3000,918,230,78,1806,0,1806,0.2285
45,13,D,LA,67.0,7.3,250.0,7500,5,3,3250,683,60,70,1063,0,1063,0.1345
46,13,E,LA,70.2,6.3,300.0,9000,5,3,3000,554,65,63,1220,0,1220,0.1543
0,14,A,NA,84.78,10.0,100.0,25000,5,1,7000,4466,60,100,2734,0,2734,0.2373
